"","prev.gene","next.gene","start","end","V5","V6"
"18","transcript_id gene-PA0916; gene_id gene-PA0916","transcript_id gene-PA0917; gene_id gene-PA0917; gene_name kup","999766","1000013","999810","999906"
"19","transcript_id gene-PA0981; gene_id gene-PA0981","transcript_id gene-PA0982; gene_id gene-PA0982","1063544","1064555","1063628","1063804"
"20","transcript_id gene-PA0983; gene_id gene-PA0983","transcript_id gene-PA0984; gene_id gene-PA0984","1065425","1065970","1065579","1065679"
"21","transcript_id gene-PA0990; gene_id gene-PA0990","transcript_id gene-PA0992; gene_id gene-PA0992; gene_name cupC1","1071877","1073285","1072992","1073043"
"22","transcript_id rna-PA1013.1; gene_id gene-PA1013.1","transcript_id gene-PA1014; gene_id gene-PA1014","1096956","1097296","1097023","1097248"
"23","transcript_id rna-PA1030.1; gene_id gene-PA1030.1","transcript_id gene-PA1031; gene_id gene-PA1031","1117609","1118158","1118049","1118129"
"24","transcript_id gene-PA1121; gene_id gene-PA1121; gene_name yfiR","transcript_id gene-PA1123; gene_id gene-PA1123","1215074","1216120","1215836","1215944"
"25","transcript_id gene-PA1149; gene_id gene-PA1149","transcript_id gene-PA1150; gene_id gene-PA1150; gene_name pys2","1243118","1243594","1243388","1243507"
"26","transcript_id gene-PA1156; gene_id gene-PA1156; gene_name nrdA","transcript_id gene-PA1157; gene_id gene-PA1157","1254309","1255042","1254519","1254660"
"27","transcript_id gene-PA1163; gene_id gene-PA1163; gene_name ndvB","transcript_id gene-PA1164; gene_id gene-PA1164","1263166","1263378","1263231","1263282"
"28","transcript_id gene-PA1229; gene_id gene-PA1229","transcript_id gene-PA1230; gene_id gene-PA1230","1331383","1331517","1331413","1331488"
"29","transcript_id gene-PA1238; gene_id gene-PA1238","transcript_id gene-PA1239; gene_id gene-PA1239","1340527","1340910","1340609","1340671"
"30","transcript_id gene-PA1263; gene_id gene-PA1263","transcript_id gene-PA1264; gene_id gene-PA1264","1372682","1372979","1372771","1372891"
"31","transcript_id gene-PA1404; gene_id gene-PA1404","transcript_id gene-PA1405; gene_id gene-PA1405","1526657","1527191","1526837","1526969"
"32","transcript_id gene-PA1541; gene_id gene-PA1541","transcript_id gene-PA1542; gene_id gene-PA1542","1678952","1679361","1679001","1679110"
"33","transcript_id gene-PA1566; gene_id gene-PA1566","transcript_id gene-PA1567; gene_id gene-PA1567","1707536","1708004","1707735","1707845"
"34","transcript_id gene-PA1735; gene_id gene-PA1735","transcript_id gene-PA1736; gene_id gene-PA1736","1878409","1878980","1878480","1878682"
"35","transcript_id gene-PA1843; gene_id gene-PA1843; gene_name metH","transcript_id gene-PA1844; gene_id gene-PA1844","2003593","2003868","2003677","2003818"
"36","transcript_id gene-PA1856; gene_id gene-PA1856","transcript_id gene-PA1857; gene_id gene-PA1857","2016581","2016928","2016615","2016738"
"37","transcript_id gene-PA1873; gene_id gene-PA1873","transcript_id gene-PA1874; gene_id gene-PA1874","2035940","2036441","2035970","2036291"
"38","transcript_id gene-PA1939; gene_id gene-PA1939","transcript_id gene-PA1940; gene_id gene-PA1940","2122222","2122579","2122417","2122550"
"39","transcript_id gene-PA1982; gene_id gene-PA1982; gene_name exaA","transcript_id gene-PA1983; gene_id gene-PA1983; gene_name exaB","2169152","2169464","2169182","2169331"
"40","transcript_id gene-PA2035; gene_id gene-PA2035","transcript_id gene-PA2036; gene_id gene-PA2036","2226144","2226879","2226632","2226683"
"41","transcript_id gene-PA2039; gene_id gene-PA2039","transcript_id gene-PA2040; gene_id gene-PA2040","2230183","2230689","2230238","2230397"
"42","transcript_id gene-PA2045; gene_id gene-PA2045","transcript_id gene-PA2047; gene_id gene-PA2047","2238801","2240302","2240115","2240259"
"43","transcript_id gene-PA2056; gene_id gene-PA2056","transcript_id gene-PA2057; gene_id gene-PA2057","2250595","2251275","2250887","2250947"
"44","transcript_id gene-PA2072; gene_id gene-PA2072","transcript_id gene-PA2073; gene_id gene-PA2073","2277334","2277552","2277389","2277522"
"45","transcript_id gene-PA2191; gene_id gene-PA2191; gene_name exoY","transcript_id gene-PA2192; gene_id gene-PA2192","2411480","2411709","2411576","2411654"
"46","transcript_id gene-PA2213; gene_id gene-PA2213","transcript_id gene-PA2214; gene_id gene-PA2214","2433562","2433748","2433615","2433713"
"47","transcript_id gene-PA2244; gene_id gene-PA2244; gene_name pslN","transcript_id gene-PA2246; gene_id gene-PA2246; gene_name bkdR","2472076","2472442","2472127","2472346"
"48","transcript_id gene-PA2371; gene_id gene-PA2371","transcript_id gene-PA2373; gene_id gene-PA2373","2623262","2624204","2623852","2623932"
"49","transcript_id gene-PA2392; gene_id gene-PA2392; gene_name pvdP","transcript_id gene-PA2393; gene_id gene-PA2393","2648410","2648626","2648440","2648597"
"50","transcript_id gene-PA2396; gene_id gene-PA2396; gene_name pvdF","transcript_id gene-PA2397; gene_id gene-PA2397; gene_name pvdE","2653057","2653435","2653091","2653142"
"51","transcript_id gene-PA2402; gene_id gene-PA2402","transcript_id gene-PA2403; gene_id gene-PA2403","2687178","2687497","2687291","2687375"
"52","transcript_id gene-PA2421; gene_id gene-PA2421","transcript_id gene-PA2422; gene_id gene-PA2422","2705297","2705773","2705632","2705744"
"53","transcript_id gene-PA2423; gene_id gene-PA2423","transcript_id gene-PA2424; gene_id gene-PA2424; gene_name pvdL","2707181","2707666","2707282","2707459"
"54","transcript_id gene-PA2450; gene_id gene-PA2450","transcript_id gene-PA2453; gene_id gene-PA2453","2752662","2754602","2753344","2753395"
"55","transcript_id gene-PA2455; gene_id gene-PA2455","transcript_id gene-PA2457; gene_id gene-PA2457","2756252","2756918","2756669","2756720"
"56","transcript_id gene-PA2506; gene_id gene-PA2506","transcript_id gene-PA2507; gene_id gene-PA2507; gene_name catA","2824501","2824659","2824537","2824630"
"57","transcript_id gene-PA2522; gene_id gene-PA2522; gene_name czcC","transcript_id gene-PA2523; gene_id gene-PA2523","2843305","2843818","2843579","2843647"
"58","transcript_id gene-PA2562; gene_id gene-PA2562","transcript_id gene-PA2563; gene_id gene-PA2563","2897253","2897610","2897456","2897552"
"59","transcript_id gene-PA2583; gene_id gene-PA2583","transcript_id rna-PA2583.1; gene_id gene-PA2583.1","2922569","2923222","2922829","2922964"
"60","transcript_id gene-PA2711; gene_id gene-PA2711","transcript_id gene-PA2712; gene_id gene-PA2712","3065876","3066296","3066011","3066195"
"61","transcript_id gene-PA2748; gene_id gene-PA2748","transcript_id gene-PA2749; gene_id gene-PA2749; gene_name endA","3110525","3110901","3110562","3110745"
"62","transcript_id gene-PA2750a; gene_id gene-PA2750a","transcript_id gene-PA2751; gene_id gene-PA2751","3112356","3112878","3112553","3112628"
"63","transcript_id gene-PA2763a; gene_id gene-PA2763a","transcript_id gene-PA2764; gene_id gene-PA2764","3123044","3123599","3123133","3123424"
"64","transcript_id gene-PA2770; gene_id gene-PA2770","transcript_id gene-PA2771; gene_id gene-PA2771","3129071","3129729","3129312","3129408"
"65","transcript_id gene-PA2789; gene_id gene-PA2789","transcript_id gene-PA2790; gene_id gene-PA2790","3147330","3147765","3147579","3147736"
"66","transcript_id gene-PA2862; gene_id gene-PA2862; gene_name lipA","transcript_id gene-PA2863; gene_id gene-PA2863; gene_name lipH","3215217","3215423","3215338","3215394"
"67","transcript_id gene-PA2926; gene_id gene-PA2926; gene_name hisP","transcript_id gene-PA2927; gene_id gene-PA2927","3281666","3281988","3281754","3281884"
"68","transcript_id gene-PA2928; gene_id gene-PA2928","transcript_id gene-PA2929; gene_id gene-PA2929","3284598","3285007","3284833","3284884"
"69","transcript_id gene-PA2945; gene_id gene-PA2945","transcript_id gene-PA2946; gene_id gene-PA2946","3305564","3306312","3306025","3306283"
"70","transcript_id gene-PA2975; gene_id gene-PA2975; gene_name rluC","transcript_id gene-PA2976; gene_id gene-PA2976; gene_name rne","3332304","3332881","3332603","3332816"
"71","transcript_id gene-PA3005; gene_id gene-PA3005; gene_name nagZ","transcript_id gene-PA3006; gene_id gene-PA3006; gene_name psrA","3366754","3366970","3366833","3366937"
"72","transcript_id gene-PA3094; gene_id gene-PA3094","transcript_id rna-PA3094.1; gene_id gene-PA3094.1","3475170","3475457","3475200","3475374"
"73","transcript_id rna-PA3133.4; gene_id gene-PA3133.4","transcript_id gene-PA3134; gene_id gene-PA3134; gene_name gltX","3515213","3515416","3515265","3515354"
"74","transcript_id gene-PA3319; gene_id gene-PA3319; gene_name plcN","transcript_id gene-PA3320; gene_id gene-PA3320","3722759","3722990","3722910","3722961"
"75","transcript_id gene-PA3433; gene_id gene-PA3433","transcript_id gene-PA3434; gene_id gene-PA3434","3841737","3842274","3842012","3842092"
"76","transcript_id gene-PA3463; gene_id gene-PA3463","transcript_id gene-PA3464; gene_id gene-PA3464","3873836","3874654","3873903","3874014"
"77","transcript_id gene-PA3471; gene_id gene-PA3471","transcript_id gene-PA3472; gene_id gene-PA3472","3885254","3885711","3885548","3885682"
"78","transcript_id gene-PA3479; gene_id gene-PA3479; gene_name rhlA","transcript_id gene-PA3480; gene_id gene-PA3480","3893008","3893432","3893057","3893207"
"79","transcript_id gene-PA3514; gene_id gene-PA3514","transcript_id gene-PA3515; gene_id gene-PA3515","3930230","3930743","3930304","3930598"
"80","transcript_id gene-PA3520; gene_id gene-PA3520","transcript_id gene-PA3521; gene_id gene-PA3521","3937432","3938020","3937466","3937804"
"81","transcript_id gene-PA3577; gene_id gene-PA3577","transcript_id gene-PA3578; gene_id gene-PA3578","4009051","4009542","4009250","4009328"
"82","transcript_id gene-PA3601; gene_id gene-PA3601","transcript_id gene-PA3602; gene_id gene-PA3602","4036021","4036265","4036115","4036166"
"83","transcript_id gene-PA3781; gene_id gene-PA3781","transcript_id gene-PA3782; gene_id gene-PA3782","4240579","4241342","4241120","4241279"
"84","transcript_id rna-PA3824.1; gene_id gene-PA3824.1","transcript_id gene-PA3825; gene_id gene-PA3825","4281751","4282078","4281781","4281832"
"85","transcript_id gene-PA3865; gene_id gene-PA3865","transcript_id gene-PA3865a; gene_id gene-PA3865a","4326395","4327395","4326606","4326671"
"86","transcript_id gene-PA3866; gene_id gene-PA3866","transcript_id gene-PA3867; gene_id gene-PA3867","4329991","4330321","4330189","4330284"
"87","transcript_id gene-PA3963a; gene_id gene-PA3963a","transcript_id gene-PA3965; gene_id gene-PA3965","4444530","4444978","4444799","4444864"
"88","transcript_id gene-PA4057; gene_id gene-PA4057; gene_name nrdR","transcript_id gene-PA4060; gene_id gene-PA4060","4538503","4539539","4538687","4539313"
"89","transcript_id gene-PA4080; gene_id gene-PA4080","transcript_id gene-PA4081; gene_id gene-PA4081; gene_name cupB6","4559650","4560295","4559979","4560257"
"90","transcript_id gene-PA4209; gene_id gene-PA4209; gene_name phzM","transcript_id gene-PA4210; gene_id gene-PA4210; gene_name phzA1","4713099","4713796","4713531","4713631"
"91","transcript_id gene-PA4359; gene_id gene-PA4359","transcript_id gene-PA4360a; gene_id gene-PA4360a","4887506","4888848","4887725","4888819"
"92","transcript_id gene-PA4647; gene_id gene-PA4647; gene_name uraA","transcript_id gene-PA4648; gene_id gene-PA4648","5214757","5215091","5214803","5214944"
"93","transcript_id gene-PA4674; gene_id gene-PA4674","transcript_id gene-PA4675; gene_id gene-PA4675","5242559","5243178","5242637","5242717"
"94","transcript_id gene-PA4696; gene_id gene-PA4696; gene_name ilvI","transcript_id gene-PA4697; gene_id gene-PA4697","5275732","5276283","5275789","5275954"
"95","transcript_id gene-PA4826; gene_id gene-PA4826","transcript_id gene-PA4827; gene_id gene-PA4827","5418569","5418899","5418614","5418769"
"96","transcript_id gene-PA5020; gene_id gene-PA5020","transcript_id gene-PA5021; gene_id gene-PA5021","5647395","5647814","5647672","5647777"
"97","transcript_id gene-PA5131; gene_id gene-PA5131; gene_name pgm","transcript_id gene-PA5132; gene_id gene-PA5132","5779681","5779995","5779735","5779934"
"98","transcript_id gene-PA5169; gene_id gene-PA5169","transcript_id gene-PA5170; gene_id gene-PA5170; gene_name arcD","5820114","5820910","5820519","5820605"
"99","transcript_id gene-PA5264; gene_id gene-PA5264","transcript_id gene-PA5265; gene_id gene-PA5265","5927105","5927336","5927135","5927304"
"100","transcript_id gene-PA5410; gene_id gene-PA5410; gene_name gbcA","transcript_id gene-PA5411; gene_id gene-PA5411; gene_name gbcB","6086674","6087099","6086730","6086792"
"101","transcript_id gene-PA5412; gene_id gene-PA5412","transcript_id gene-PA5413; gene_id gene-PA5413; gene_name ltaA","6090706","6092046","6091511","6091588"
"102","transcript_id gene-PA5471; gene_id gene-PA5471","transcript_id gene-PA5472; gene_id gene-PA5472","6160699","6161067","6160731","6160936"
"103","transcript_id gene-PA5479; gene_id gene-PA5479; gene_name gltP","transcript_id gene-PA5481; gene_id gene-PA5481","6171510","6172223","6171769","6171876"
"104","transcript_id gene-PA5492; gene_id gene-PA5492","transcript_id gene-PA5493; gene_id gene-PA5493; gene_name polA","6183520","6183784","6183550","6183636"
"105","transcript_id gene-PA5530; gene_id gene-PA5530","transcript_id gene-PA5531; gene_id gene-PA5531; gene_name tonB1","6224481","6224897","6224776","6224827"
"106","transcript_id gene-PA5547; gene_id gene-PA5547","transcript_id gene-PA5548; gene_id gene-PA5548","6241493","6241851","6241623","6241779"
