"","prev.gene","next.gene","start","end","V5","V6"
"38","transcript_id gene-PA1260; gene_id gene-PA1260","transcript_id gene-PA1261; gene_id gene-PA1261","1369160","1369418","1369267","1369378"
"39","transcript_id gene-PA1366; gene_id gene-PA1366","transcript_id gene-PA1367; gene_id gene-PA1367","1479791","1480215","1479845","1480005"
"40","transcript_id gene-PA1474; gene_id gene-PA1474","transcript_id gene-PA1475; gene_id gene-PA1475; gene_name ccmA","1601893","1602179","1601950","1602007"
"41","transcript_id gene-PA1554; gene_id gene-PA1554; gene_name ccoN1","transcript_id gene-PA1555; gene_id gene-PA1555; gene_name ccoP2","1692754","1693119","1692822","1693009"
"42","transcript_id gene-PA1589; gene_id gene-PA1589; gene_name sucD","transcript_id gene-PA1590; gene_id gene-PA1590; gene_name braB","1732234","1732545","1732361","1732458"
"43","transcript_id gene-PA1606; gene_id gene-PA1606","transcript_id gene-PA1607; gene_id gene-PA1607","1749175","1749349","1749205","1749283"
"44","transcript_id gene-PA1659; gene_id gene-PA1659","transcript_id gene-PA1660; gene_id gene-PA1660","1807648","1808193","1807883","1808018"
"45","transcript_id gene-PA1729; gene_id gene-PA1729","transcript_id gene-PA1730; gene_id gene-PA1730","1872202","1872602","1872275","1872570"
"46","transcript_id gene-PA1838; gene_id gene-PA1838; gene_name cysI","transcript_id gene-PA1837a; gene_id gene-PA1837a","1996806","1997217","1997103","1997188"
"47","transcript_id gene-PA1869; gene_id gene-PA1869","transcript_id gene-PA1870; gene_id gene-PA1870","2031705","2031988","2031753","2031804"
"48","transcript_id gene-PA2126; gene_id gene-PA2126","transcript_id gene-PA2127; gene_id gene-PA2127","2339987","2340414","2340018","2340169"
"49","transcript_id gene-PA2127; gene_id gene-PA2127","transcript_id gene-PA2128; gene_id gene-PA2128; gene_name cupA1","2341640","2342493","2342042","2342113"
"50","transcript_id gene-PA2230; gene_id gene-PA2230","transcript_id gene-PA2231; gene_id gene-PA2231; gene_name pslA","2453140","2453667","2453465","2453525"
"51","transcript_id gene-PA2371; gene_id gene-PA2371","transcript_id gene-PA2373; gene_id gene-PA2373","2623262","2624204","2623559","2623610"
"52","transcript_id gene-PA2423; gene_id gene-PA2423","transcript_id gene-PA2424; gene_id gene-PA2424; gene_name pvdL","2707181","2707666","2707302","2707433"
"53","transcript_id gene-PA2436; gene_id gene-PA2436","transcript_id gene-PA2437; gene_id gene-PA2437","2732966","2733120","2732996","2733063"
"54","transcript_id gene-PA2455; gene_id gene-PA2455","transcript_id gene-PA2457; gene_id gene-PA2457","2756252","2756918","2756508","2756799"
"55","transcript_id gene-PA2461; gene_id gene-PA2461","transcript_id gene-PA2462; gene_id gene-PA2462","2761351","2761921","2761604","2761810"
"56","transcript_id gene-PA2478; gene_id gene-PA2478","transcript_id gene-PA2479; gene_id gene-PA2479","2797572","2797735","2797614","2797706"
"57","transcript_id gene-PA2580; gene_id gene-PA2580","transcript_id gene-PA2581; gene_id gene-PA2581","2916748","2917172","2916878","2917143"
"58","transcript_id gene-PA2633; gene_id gene-PA2633","transcript_id gene-PA2634; gene_id gene-PA2634; gene_name aceA","2977161","2977756","2977408","2977511"
"59","transcript_id gene-PA2667; gene_id gene-PA2667","transcript_id gene-PA2669; gene_id gene-PA2669","3016599","3017234","3016656","3016920"
"60","transcript_id gene-PA2683; gene_id gene-PA2683","transcript_id gene-PA2684; gene_id gene-PA2684","3031398","3031749","3031430","3031720"
"61","transcript_id gene-PA2733; gene_id gene-PA2733","transcript_id gene-PA2734; gene_id gene-PA2734","3094185","3094757","3094254","3094377"
"62","transcript_id gene-PA2762; gene_id gene-PA2762","transcript_id gene-PA2763; gene_id gene-PA2763","3122265","3122377","3122297","3122348"
"63","transcript_id gene-PA2906; gene_id gene-PA2906","transcript_id gene-PA2907; gene_id gene-PA2907; gene_name cobL","3261185","3261522","3261227","3261360"
"64","transcript_id gene-PA2945; gene_id gene-PA2945","transcript_id gene-PA2946; gene_id gene-PA2946","3305564","3306312","3306011","3306069"
"65","transcript_id gene-PA2975; gene_id gene-PA2975; gene_name rluC","transcript_id gene-PA2976; gene_id gene-PA2976; gene_name rne","3332304","3332881","3332378","3332793"
"66","transcript_id gene-PA3082; gene_id gene-PA3082; gene_name gbt","transcript_id gene-PA3083; gene_id gene-PA3083; gene_name pepN","3459933","3460380","3460026","3460077"
"67","transcript_id rna-PA3094.3; gene_id gene-PA3094.3","transcript_id gene-PA3095; gene_id gene-PA3095; gene_name xcpZ","3475816","3475956","3475868","3475924"
"68","transcript_id gene-PA3112; gene_id gene-PA3112; gene_name accD","transcript_id gene-PA3113; gene_id gene-PA3113; gene_name trpF","3493573","3493842","3493634","3493794"
"69","transcript_id gene-PA3115; gene_id gene-PA3115; gene_name fimV","transcript_id gene-PA3116; gene_id gene-PA3116","3498205","3498374","3498263","3498314"
"70","transcript_id gene-PA3159; gene_id gene-PA3159; gene_name wbpA","transcript_id gene-PA3160; gene_id gene-PA3160; gene_name wzz","3545074","3545881","3545104","3545155"
"71","transcript_id gene-PA3160; gene_id gene-PA3160; gene_name wzz","transcript_id gene-PA3161; gene_id gene-PA3161; gene_name himD","3546927","3547689","3547399","3547450"
"72","transcript_id gene-PA3190; gene_id gene-PA3190","transcript_id gene-PA3191; gene_id gene-PA3191","3581646","3582171","3581791","3581854"
"73","transcript_id gene-PA3216; gene_id gene-PA3216","transcript_id gene-PA3217; gene_id gene-PA3217; gene_name cyaB","3605467","3605684","3605497","3605609"
"74","transcript_id gene-PA3259; gene_id gene-PA3259","transcript_id gene-PA3260; gene_id gene-PA3260","3647397","3647755","3647671","3647725"
"75","transcript_id gene-PA3261; gene_id gene-PA3261","transcript_id gene-PA3262; gene_id gene-PA3262","3648916","3649705","3649415","3649513"
"76","transcript_id gene-PA3286; gene_id gene-PA3286","transcript_id gene-PA3287; gene_id gene-PA3287","3679386","3679946","3679690","3679741"
"77","transcript_id gene-PA3433; gene_id gene-PA3433","transcript_id gene-PA3434; gene_id gene-PA3434","3841737","3842274","3842046","3842097"
"78","transcript_id gene-PA3479; gene_id gene-PA3479; gene_name rhlA","transcript_id gene-PA3480; gene_id gene-PA3480","3893008","3893432","3893108","3893189"
"79","transcript_id gene-PA3514; gene_id gene-PA3514","transcript_id gene-PA3515; gene_id gene-PA3515","3930230","3930743","3930363","3930459"
"80","transcript_id gene-PA3519; gene_id gene-PA3519","transcript_id gene-PA3520; gene_id gene-PA3520","3936837","3937238","3937051","3937186"
"81","transcript_id gene-PA3576; gene_id gene-PA3576","transcript_id gene-PA3577; gene_id gene-PA3577","4008558","4008938","4008588","4008696"
"82","transcript_id gene-PA3577; gene_id gene-PA3577","transcript_id gene-PA3578; gene_id gene-PA3578","4009051","4009542","4009164","4009364"
"83","transcript_id gene-PA3762; gene_id gene-PA3762","transcript_id gene-PA3763; gene_id gene-PA3763; gene_name purL","4215079","4215544","4215288","4215371"
"84","transcript_id gene-PA3858; gene_id gene-PA3858","transcript_id gene-PA3859; gene_id gene-PA3859","4317962","4318259","4317992","4318071"
"85","transcript_id gene-PA3947; gene_id gene-PA3947; gene_name rocR","transcript_id gene-PA3948; gene_id gene-PA3948; gene_name rocA1","4428130","4428412","4428224","4428300"
"86","transcript_id gene-PA3965; gene_id gene-PA3965","transcript_id gene-PA3966; gene_id gene-PA3966","4445487","4445689","4445543","4445648"
"87","transcript_id gene-PA3979; gene_id gene-PA3979","transcript_id gene-PA3980; gene_id gene-PA3980","4459750","4459879","4459780","4459831"
"88","transcript_id gene-PA4033; gene_id gene-PA4033","transcript_id gene-PA4034; gene_id gene-PA4034; gene_name aqpZ","4514348","4514695","4514461","4514557"
"89","transcript_id gene-PA4036; gene_id gene-PA4036","transcript_id gene-PA4037; gene_id gene-PA4037","4518870","4519275","4518936","4519132"
"90","transcript_id gene-PA4055; gene_id gene-PA4055; gene_name ribC","transcript_id gene-PA4056; gene_id gene-PA4056; gene_name ribD","4536493","4536921","4536678","4536824"
"91","transcript_id gene-PA4070; gene_id gene-PA4070","transcript_id gene-PA4071; gene_id gene-PA4071","4548771","4548932","4548826","4548902"
"92","transcript_id gene-PA4080; gene_id gene-PA4080","transcript_id gene-PA4081; gene_id gene-PA4081; gene_name cupB6","4559650","4560295","4560061","4560205"
"93","transcript_id gene-PA4111; gene_id gene-PA4111","transcript_id gene-PA4112; gene_id gene-PA4112","4595685","4595849","4595756","4595820"
"94","transcript_id gene-PA4209; gene_id gene-PA4209; gene_name phzM","transcript_id gene-PA4210; gene_id gene-PA4210; gene_name phzA1","4713099","4713796","4713254","4713338"
"95","transcript_id rna-PA4277.3; gene_id gene-PA4277.3","transcript_id gene-PA4278; gene_id gene-PA4278","4785872","4786021","4785902","4785992"
"96","transcript_id rna-PA4280.1; gene_id gene-PA4280.1","transcript_id rna-PA4280.2; gene_id gene-PA4280.2","4788693","4788836","4788723","4788793"
"97","transcript_id gene-PA4308; gene_id gene-PA4308","transcript_id gene-PA4309; gene_id gene-PA4309; gene_name pctA","4834864","4835264","4835132","4835235"
"98","transcript_id gene-PA4359; gene_id gene-PA4359","transcript_id gene-PA4360a; gene_id gene-PA4360a","4887506","4888848","4887784","4887872"
"99","transcript_id gene-PA4456; gene_id gene-PA4456","transcript_id gene-PA4457; gene_id gene-PA4457","4988891","4989305","4989000","4989065"
"100","transcript_id gene-PA4461; gene_id gene-PA4461","transcript_id gene-PA4462; gene_id gene-PA4462; gene_name rpoN","4992644","4992870","4992676","4992774"
"101","transcript_id gene-PA4526; gene_id gene-PA4526; gene_name pilB","transcript_id gene-PA4528; gene_id gene-PA4528; gene_name pilD","5071463","5072695","5072349","5072447"
"102","transcript_id gene-PA4539; gene_id gene-PA4539","transcript_id gene-PA4540; gene_id gene-PA4540","5080208","5080757","5080413","5080622"
"103","transcript_id gene-PA4594; gene_id gene-PA4594","transcript_id gene-PA4595; gene_id gene-PA4595","5146403","5146907","5146436","5146540"
"104","transcript_id gene-PA4595; gene_id gene-PA4595","transcript_id gene-PA4596; gene_id gene-PA4596","5148571","5149064","5148691","5148749"
"105","transcript_id gene-PA4617; gene_id gene-PA4617","transcript_id gene-PA4618; gene_id gene-PA4618","5176104","5176680","5176460","5176602"
"106","transcript_id gene-PA4625; gene_id gene-PA4625","transcript_id gene-PA4626; gene_id gene-PA4626; gene_name hprA","5192875","5193196","5192952","5193049"
"107","transcript_id gene-PA4639; gene_id gene-PA4639","transcript_id gene-PA4640; gene_id gene-PA4640; gene_name mqoB","5207622","5208464","5208067","5208418"
"108","transcript_id gene-PA4640; gene_id gene-PA4640; gene_name mqoB","transcript_id gene-PA4642; gene_id gene-PA4642","5209987","5210706","5210041","5210453"
"109","transcript_id gene-PA4696; gene_id gene-PA4696; gene_name ilvI","transcript_id gene-PA4697; gene_id gene-PA4697","5275732","5276283","5275774","5275974"
"110","transcript_id gene-PA4702; gene_id gene-PA4702","transcript_id gene-PA4703; gene_id gene-PA4703","5282506","5282732","5282646","5282697"
"111","transcript_id gene-PA4772; gene_id gene-PA4772","transcript_id gene-PA4773; gene_id gene-PA4773","5361258","5361586","5361306","5361357"
"112","transcript_id gene-PA4826; gene_id gene-PA4826","transcript_id gene-PA4827; gene_id gene-PA4827","5418569","5418899","5418608","5418716"
"113","transcript_id gene-PA4839; gene_id gene-PA4839; gene_name speA","transcript_id gene-PA4840; gene_id gene-PA4840","5433291","5433541","5433321","5433372"
"114","transcript_id gene-PA4868; gene_id gene-PA4868; gene_name ureC","transcript_id gene-PA4869; gene_id gene-PA4869","5466521","5466790","5466642","5466761"
"115","transcript_id gene-PA4874; gene_id gene-PA4874","transcript_id gene-PA4876; gene_id gene-PA4876; gene_name osmE","5472042","5472824","5472428","5472556"
"116","transcript_id gene-PA4913; gene_id gene-PA4913","transcript_id gene-PA4914; gene_id gene-PA4914","5513112","5513732","5513166","5513325"
"117","transcript_id gene-PA5000; gene_id gene-PA5000; gene_name wapR","transcript_id gene-PA5001; gene_id gene-PA5001","5618418","5618579","5618454","5618510"
"118","transcript_id gene-PA5057; gene_id gene-PA5057; gene_name phaD","transcript_id gene-PA5058; gene_id gene-PA5058; gene_name phaC2","5698055","5698359","5698162","5698281"
"119","transcript_id gene-PA5076; gene_id gene-PA5076","transcript_id gene-PA5077; gene_id gene-PA5077; gene_name mdoH","5714032","5714270","5714062","5714164"
"120","transcript_id gene-PA5085; gene_id gene-PA5085","transcript_id gene-PA5087; gene_id gene-PA5087","5724538","5725479","5724609","5724660"
"121","transcript_id gene-PA5228; gene_id gene-PA5228","transcript_id gene-PA5229; gene_id gene-PA5229","5885119","5885486","5885149","5885445"
"122","transcript_id gene-PA5334; gene_id gene-PA5334; gene_name rph","transcript_id gene-PA5335; gene_id gene-PA5335","6004096","6004277","6004150","6004227"
"123","transcript_id gene-PA5378; gene_id gene-PA5378","transcript_id gene-PA5379; gene_id gene-PA5379; gene_name sdaB","6056413","6056877","6056463","6056579"
"124","transcript_id gene-PA5492; gene_id gene-PA5492","transcript_id gene-PA5493; gene_id gene-PA5493; gene_name polA","6183520","6183784","6183554","6183644"
"125","transcript_id gene-PA5518; gene_id gene-PA5518","transcript_id gene-PA5519; gene_id gene-PA5519","6211768","6212147","6211798","6212086"
"126","transcript_id gene-PA5529; gene_id gene-PA5529","transcript_id gene-PA5530; gene_id gene-PA5530","6222858","6223174","6222927","6223074"
"127","transcript_id gene-PA5547; gene_id gene-PA5547","transcript_id gene-PA5548; gene_id gene-PA5548","6241493","6241851","6241549","6241681"
